"Bunny Rabbit.  The family took a trip to Yellowstone. The rabbit was in a big tree. They got the rabbit out. They had fun for a long time. The rabbit was not a real bunny anymore."
"Good Terms.  When I moved to France, I bought the correct kind of clothes. However, my friend told me that it was illegal in France. So I asked him to let me keep one. And he let me keep a similar one."
"What And Itch.  I heard a lot of stories about how animals looked. I realized that cats and dogs weren't actually real animals. My friend, a veterinarian, suggested I try and dissect a dog. I practiced dissecting the dog, but did not feel good enough. My friend tried to help me dissect the dog, but I refused."
"Empty Club.  Sue was at a friend's house. Her friend's brother had a birthday party. Sue went to the bar and ordered a soda. When she got to the club it was empty. She got kicked out."
"Wrestling.  Tim was excited when his friends invited him to a wrestling match. Tim told them the news that he didn't want to go. They all hoped he didn't want to go because of his bad behavior. Tim's friends got scared and told him to change his behavior. Tim made it to the match and was very happy."
"Magical Fruit.  The cat made a strange sound when he was hungry. The cat would be happy to eat it. It would take him a long time to find the source of the noise. Eventually it became clear the cat was eating some bananas. The cat happily ate the bananas."
"Schedule.  Tim was sick from work. His schedule was getting too boring. Tim went to a restaurant to find a break. It took him twenty minutes to get through it all. When he was done, Tim decided to go out again."
"Candy in the dirt.  I bought some candy for my friends. It was very dusty and it wasn't looking good. After buying it I went to get some more. I found out that there was a big hole. It was so gross, I had to clean it up."
"Robins cruel exit.  The man was in a cab with his girlfriend. He didn't want to wait. He pulled into a small parking lot. He got in and got in the cab. He ended up leaving in a huge hurry."
"Good Fences.  When I was in middle school, my teacher gave me a test. She gave me a grade of B. I had to do well on the test. After a few hours, I went to the principal's office. I got a letter saying my grades were perfect."
"Carnival Games.  Allie went on a carnival with her cousins. She decided to go with a friend, but they were bored. After a while the other girls had enough. They decided to go with the friends. Allie and her cousin enjoyed the carnival games that night."
"New Neighbors.  Tom moved into a new apartment complex. He needed to make new friends at his new apartment. When he arrived home, a neighbor tried to call Tom into his apartment. Tom responded by yelling at the neighbor and punching him. The neighbor was upset and kicked Tom out of the apartment."
"The Face Wash.  My friend was going to the beach. She had a big party at her house. When the party started, the dress she wanted to wear went off. I bought some new makeup. I then sat and pretended to have a face wash."
"Bill started a company.  Bill started a business. He had nothing to sell his products to the customers. Bill raised money through advertisements. Bill raised money through social media. He made lots of new products."
"Pool.  Anna's mom wanted her to stay at the pool. So Anna got her parents together to get in the pool. She climbed in the pool. Anna got a hot tub in the hot tub."
"Megan sees a ghost.  Megan was asleep one night. Suddenly she saw something moving in her bed. Megan thought it was an antelope and ran to investigate. She looked all over the room and realized the antelope was stuck. Megan was so scared that she got the antelope and cleaned it up."
"Francine Has her Ears Pierced.  Francine was getting married to her boyfriend. She needed a place to sit. Finally she found one on the street. She felt like going to the right aisle. But when she was getting in, her ears were Pierced!"
"Penn.  The Penn family went to a pet store. They got to pick a stuffed animal. Their puppy started sniffing the food. One puppy started sniffing at the store too. The two dogs began running away. The Penn family was sad that they couldn't have that puppy."
"Flower Shop.  My boyfriend and I decided to buy a flower nursery. After purchasing it, we went to the local flower shop. After purchasing our supplies, we went home. When we returned, we noticed the flower bed was missing. I had to go to the store to buy the flower bed."
"Shoes.  Kate needed new shoes. She looked everywhere. She didn't know which shoes she wanted. Luckily Kate found a pair she liked. Kate had them delivered to her house."
"Spare Change.  Tom was having a party. They were giving away a bunch of candy. The party didn't have anything for free. He decided to keep it for himself. He decided to throw his whole birthday party away."
"Balloon Fight.  My dad was a popular musician. He was performing in a band with a bunch of other people. They were playing a huge music concert. He started to have a seizure and went to the hospital. The doctor took him to the hospital for his broken arm."
"Stripley.  Lacy decided she wanted to try out for the high school dance team. She was nervous because she had only been a freshman. Her first dance performance was amazing. She had a great time dancing. She decided to try again next year."
